ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
21,CustoUniforme,C4,-,44,5900,9259,15
21,A*,C1,H1,30,514,852,15
21,A*,C1,H2,30,111,183,15
21,A*,C2,H1,37,670,1127,15
21,A*,C2,H2,37,172,296,15
21,A*,C3,H1,38,841,1367,15
21,A*,C3,H2,38,216,356,15
21,A*,C4,H1,44,950,1528,15
21,A*,C4,H2,44,288,465,15
22,CustoUniforme,C1,-,46,112656,134602,23
22,CustoUniforme,C2,-,55,93641,117503,23
22,CustoUniforme,C3,-,58,117841,139036,23
22,CustoUniforme,C4,-,64,85457,108388,24
22,A*,C1,H1,46,16602,25122,23
22,A*,C1,H2,46,1409,2213,23
22,A*,C2,H1,55,17453,25901,23
22,A*,C2,H2,55,2140,3261,23
22,A*,C3,H1,58,27168,39219,23
22,A*,C3,H2,58,3592,5515,23
22,A*,C4,H1,64,19647,28992,24
22,A*,C4,H2,64,3424,5311,24
23,CustoUniforme,C1,-,40,51454,70529,20
23,CustoUniforme,C2,-,50,53755,73801,20
23,CustoUniforme,C3,-,50,48557,66347,20
23,CustoUniforme,C4,-,58,46743,64066,20
23,A*,C1,H1,40,4790,7590,20
23,A*,C1,H2,40,557,894,20
23,A*,C2,H1,50,7424,11486,20
23,A*,C2,H2,50,1304,2064,20
23,A*,C3,H1,50,7260,11641,20
23,A*,C3,H2,50,1202,1970,20
23,A*,C4,H1,58,8503,13143,20
23,A*,C4,H2,58,1940,3092,20
24,CustoUniforme,C1,-,42,64419,86120,21
24,CustoUniforme,C2,-,51,60393,81381,21
24,CustoUniforme,C3,-,54,79820,101329,21
24,CustoUniforme,C4,-,62,69298,91004,22
24,A*,C1,H1,42,7399,11561,21
24,A*,C1,H2,42,862,1364,21
24,A*,C2,H1,51,9222,14030,21
24,A*,C2,H2,51,1521,2349,21
24,A*,C3,H1,54,14709,21988,21
24,A*,C3,H2,54,2535,3969,21
24,A*,C4,H1,62,15227,22874,22
24,A*,C4,H2,62,3428,5354,22
25,CustoUniforme,C1,-,36,22907,33238,18
25,CustoUniforme,C2,-,44,19912,29404,18
25,CustoUniforme,C3,-,46,25555,36920,18
25,CustoUniforme,C4,-,55,29809,42888,18
25,A*,C1,H1,36,1809,2937,18
25,A*,C1,H2,36,318,520,18
25,A*,C2,H1,44,2384,3762,18
25,A*,C2,H2,44,518,814,18
25,A*,C3,H1,46,3328,5201,18
25,A*,C3,H2,46,684,1097,18
25,A*,C4,H1,55,5162,8091,18
25,A*,C4,H2,55,1393,2229,18
26,CustoUniforme,C1,-,44,92658,113720,22
26,CustoUniforme,C2,-,54,83918,104685,22
26,CustoUniforme,C3,-,56,89199,113509,22
26,CustoUniforme,C4,-,62,68572,90135,22
26,A*,C1,H1,44,10337,15954,22
26,A*,C1,H2,44,1503,2425,22
26,A*,C2,H1,54,13870,20770,22
26,A*,C2,H2,54,2915,4464,22
26,A*,C3,H1,56,18841,27846,22
